Sport,Intercept,b_lnAth,b_lnEvt,b_host,b_lag,sigma,Converged,NegLogL,n_obs
Cycling,-0.3541053599989944,0.07969508181149114,0.06360312714935303,-0.05367459670330355,0.6105234877026884,0.14554792093710256,True,81.18415315652712,1131
Cycling BMX Racing,-2.010507569603861,0.3134114697079397,2.081047804055228,0.2820173130768278,-0.35610136431918443,0.33419164087028824,True,10.031084317706224,44
Cycling Mountain Bike,-0.746487701764632,0.5984881772920968,-0.4121885082628573,0.40220555002093183,-12.01342338922924,0.40568280853396954,True,15.731909215068859,70
Cycling Road,-0.49380296949981234,0.6432984226137272,-0.5622472480619625,0.23584679081962331,0.40889741468638646,0.15578278495326675,True,5.902753591858947,135
Cycling Track,-0.3423071063064458,0.05865113068608746,0.11124123425601255,-0.005338800418401524,0.6278625388413877,0.16320435756515236,True,99.10637370988641,824
Diving,-0.534048848882551,0.18404213780807213,-0.08103831915307701,-0.13056605844883404,1.4071600079726114,0.27754175244674373,True,122.64236151108493,644
Equestrian,-0.7155012168618098,0.11189445265837386,0.2711884820509934,-0.05478834041548957,0.609270799137622,0.10978461468998903,True,-2.5452733633815416,98
Equestrianism,-0.3620836798162332,0.08574816310171945,0.10661426298483474,-0.05440813142338134,0.5254896076343079,0.14665335768668866,True,48.97367463254872,616
Fencing,-0.2976286159203958,0.10240691793773771,0.0030786773096505267,-0.05268672863700548,0.8547436847601522,0.1323576263276668,True,34.270631681296265,940
Football,-0.3461248207284371,0.02008745713773477,0.15559063112396881,-0.06897411475072192,1.2197324705544963,0.351343464044721,True,183.99202043688587,466
Golf,-1.0259667325821722,0.46566222626985054,-0.20639948922505047,0.2814474988959919,0.5950799508633792,0.6546252566721579,True,40.97618520763139,128
Gymnastics,-0.44053235962534276,0.11777388143541183,0.0782335167579036,0.07605980151814332,0.6173854213524275,0.18869080450910836,True,95.36152590295922,695
Handball,-0.45320599267125217,-0.0006097290709592695,0.9013473381545385,-0.14897024380503937,0.8029330851963152,0.4067961069885841,True,107.74176797836157,236
Hockey,-0.08541126129511287,-0.036590260383823875,0.049940861302087525,-0.0395718029115886,1.2166640809707239,0.37871245916393736,True,130.53738673634143,305
Judo,-0.11383164097193682,0.015461499528029294,0.037298440647848256,0.0008730653884590291,0.7523273297780593,0.056101860789628165,True,-195.9420284878052,1269
Karate,-0.008830327236121144,0.021549285588141676,0.021549285983442374,0.012959377693013687,0.5,0.033772470487485426,True,-28.402750514967465,36
Marathon Swimming,-0.5869960033536533,0.01145395051052283,0.4466326423843413,-2.3566455234568666,2.324335200565113,0.35843601750523474,True,14.98201941429858,55
Modern Pentathlon,-0.8498190177063185,0.4833477192088517,-0.012653137513653667,0.015173866468283947,1.0261419853785332,0.3714396671546899,True,159.16784250457073,519
Rhythmic Gymnastics,-0.74610266617242,0.2681132585308646,0.03827116624996504,-0.21526899506683325,0.8531577254509572,0.3942819000372804,True,68.73799379664027,239
Rowing,-0.18567810833914478,0.06295179704633286,0.006314300209135375,0.012135714031114134,0.5675724105475268,0.09408141417985849,True,-134.40116126761265,983
Rugby Sevens,1.7874165658074987,-0.7464357780577403,0.8318329873286335,-0.08243722661499832,0.6422697498048023,0.20796318895056576,True,13.625287888401813,46
Sailing,-0.2356903284496501,0.13587472539939893,-0.05431290277182958,0.007736237984113682,0.5412269271306765,0.09759539356986113,True,-37.18153406667406,1131
Shooting,-0.21411029410519714,0.07454737624582392,0.016688650142816706,-0.025916498059767958,0.5809736683535995,0.09706713625144607,True,-33.89614734127741,1605
Skateboarding,-2.016545771634318,1.0075232732072705,-0.04334455989897455,0.08928815215776328,0.6659263745569083,0.6249816524230334,True,11.438610118687858,48
Softball,-0.15579828855719705,-0.29524214759990264,0.01,-1.0997191581875931,2.497109634066307,0.6471375671532887,True,17.48956428399001,32
Sport Climbing,-0.44923320373466313,0.8714884394776992,-0.9804124617617462,0.05834101244382292,0.7534191013459318,0.29284425125488234,True,8.942307343203094,41
Surfing,-0.40100243964739457,0.4575747854986804,-0.5255781909221129,0.7455121482628315,0.3027858878424147,0.2628699442904201,True,6.9738949867961635,39
Swimming,-0.21013704542047462,0.1090513879689782,-0.042133284946738236,-0.03939378981498527,0.7876297110438921,0.09705592243585677,True,-31.62488195213814,2108
Synchronized Swimming,-0.754728986827798,0.14630095870078613,0.37131603242307193,0.0010406662888978913,1.5587309021585116,0.26463324765557167,True,27.50401431118015,189
Table Tennis,-0.6074239354020413,0.22191814712564492,0.04749611083174123,0.11400677710470637,1.1247452010932015,0.1647428991368093,True,37.140956510511856,524
Taekwondo,-0.06320265775225388,0.02813611293971712,0.028136099612366645,0.011742683110069006,0.605635729478851,0.046868902845851816,True,-120.07496311604326,420
Tennis,-1.2845697396123783,0.4207580330209577,0.15785723144231165,-0.08701790547545404,0.6618482850138991,0.6857651866593609,True,195.22316071840774,562
Trampoline Gymnastics,-0.3453086955381422,0.6463189571040677,-0.45188896001614737,-1.5154279810900517,0.19126520578602776,0.226022804849124,True,6.6944827322537925,34
Trampolining,-0.5270102833733248,0.21401624615732653,0.35288557758256944,0.20848049259868628,0.7261028916372194,0.25488045444353924,True,18.693742980540506,88
Triathlon,-0.9711766067363204,0.4666526121278006,-0.046826488756279636,0.35753714720756136,0.9749497191478729,0.3381119900540731,True,52.70104777918266,265
Volleyball,0.4690837356222485,-0.2767091103755701,0.5886971799411214,-0.08489659091949849,0.6878069164808657,0.19976447949019413,True,55.27213294568457,244
Volleyball Women,1.5564381441891695,-0.734551579780424,0.01,-0.22463292628313444,1.1111335194799916,0.3640033281257374,True,70.48962167102944,158
Water Polo,-0.652444848837826,0.08403592069691455,0.7333170775624211,-0.1405396530012597,1.2667384624326183,0.5871434584349157,True,172.5855497576626,356
Weightlifting,-0.19650863943291152,0.04883065589941182,0.04936439297680194,-0.05318940770111423,0.8263050579052389,0.1114082796036272,True,30.549569878996238,1288
Wrestling,-0.14426705341195656,0.14730652392062799,-0.08090914004612015,-0.022300195040829612,0.4476558604339014,0.08144859997205084,True,-251.49413171307748,1215
